127.0.0.1 - - [25/May/2019:08:22:20 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 200 12460
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 200 7340
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:21 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 200 6996
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 200 23292
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 200 7340
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 200 6996
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 200 6921
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 200 12460
0:0:0:0:0:0:0:1 - - [25/May/2019:08:22:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:06 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:06 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:25:06 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
