127.0.0.1 - - [17/Jun/2019:08:10:57 +0900] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/firstPage.jsp HTTP/1.1" 200 35466
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/firstPageStyle.css HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/TopWrapperStyle.css HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/fullViewStyle.css HTTP/1.1" 200 9705
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/footerStyle.css HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/beforeboyfriend.jpg HTTP/1.1" 200 128671
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/img/girl1.png HTTP/1.1" 200 63016
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/cheeserice.jpg HTTP/1.1" 200 93207
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/hyejinramen.jpg HTTP/1.1" 200 113522
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/beanze.jpg HTTP/1.1" 200 157350
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/porkyasaby.jpg HTTP/1.1" 200 88105
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/bananalate.jpg HTTP/1.1" 200 69817
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/pio.jpg HTTP/1.1" 200 151542
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/ahoback.jpg HTTP/1.1" 200 146576
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/hoduck.jpg HTTP/1.1" 200 61795
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/maxim.jpg HTTP/1.1" 200 83815
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/mandu.jpg HTTP/1.1" 200 117843
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/ramenddang.jpg HTTP/1.1" 200 121948
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/kkackdugi.jpg HTTP/1.1" 200 127275
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/dduckbockkki.jpg HTTP/1.1" 200 88457
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/cheesetost.jpg HTTP/1.1" 200 65129
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/eggtoast.jpg HTTP/1.1" 200 117000
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/kimchjeon.jpg HTTP/1.1" 200 114849
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/duckkochi.jpg HTTP/1.1" 200 89267
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/eggganjang.jpg HTTP/1.1" 200 54307
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/ganjangnoodle.jpg HTTP/1.1" 200 91620
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/post/rameonbab.jpg HTTP/1.1" 200 52948
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/img/prev.png HTTP/1.1" 200 23089
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/img/next.png HTTP/1.1" 200 23087
0:0:0:0:0:0:0:1 - - [17/Jun/2019:08:10:58 +0900] "GET /IT-show/address HTTP/1.1" 404 1092
